
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
1;How are you?;null
3;Hello amigo.How are you?;null
